,job_title,min_salary,max_salary,experience_required,skills_required,job_specializations,career_level,qualification,job_type,date_posted,city,province,region
2896,Senior SQL Technical Analyst (PASAY),60000.0,65000.0,3.0,SQL,"Computer/Information Technology, IT-Network/Sys/DB Admin",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,pasay city,metro manila,national capital region
2897,Analytics Advisory Associate Manager | Power Bi & Python (EH 1915),,,3.0,"Tableau, Power BI, Python","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2898,Marketing Analytics Specialist (E-commerce),,,1.0,Power BI,"Sales/Marketing, Marketing/Business Dev",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,,,,
2899,Associate Workforce Services Manager | CSR (EH 1577),,,7.0,,"Services, Customer Service",Assistant Manager/Manager,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2900,[URGENT] - Business Analyst | Hybrid Work Set-up,,,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,taguig city,metro manila,national capital region
2901,Regional Sales Operator,,,1.0,Microsoft Excel,"Sales/Marketing, Retail Sales",Less than 1 Year Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,dagupan city,pangasinan,ilocos region
2902,Reports Specialist | VBA (EH 1967),,,2.0,"Tableau, Power BI, Microsoft Excel, SQL","Computer/Information Technology, IT-Software",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2903,Warehouse Clerk-Iloilo,,,,Microsoft Excel,,Less than 1 Year Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,iloilo city,iloilo,western visayas
2904,Integration Specialist,,,3.0,,"Sales/Marketing, E-commerce",1-4 Years Experienced Employee,bachelor's/college degree,Full-Time,2023-07-17,taguig city,metro manila,national capital region
2905,Data Analytics | Associate Manager (EH 1915),,,5.0,"Tableau, Power BI, Python","Computer/Information Technology, IT-Software",Assistant Manager/Manager,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2906,Ad Ops Specialist (Google Ads and Paid Social) - Night Shift (HMO Day 1) WFH,,,3.0,,"Sales/Marketing, Digital Marketing",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,,,,
2907,Measurement & Report Analyst | Data Virtualization (EH 1966),,,2.0,"Tableau, Power BI, SQL","Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2908,Finance Data Management Specialist,,,1.0,Microsoft Excel,"Accounting/Finance, General/Cost Accounting",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,taguig city,metro manila,national capital region
2909,SQL & Python | Data Analytics Specialist (EH 1916),,,1.0,"Python, Machine learning, SQL","Computer/Information Technology, IT-Network/Sys/DB Admin",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2910,Reporting Analyst | Dayshift | Work from home,,,2.0,SQL,"Services, Customer Service",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-17,,,national capital region
2911,Technical Services Manager (Cebu),80000.0,90000.0,7.0,,,Assistant Manager/Manager,vocational diploma/short course certificate,Full-Time,2023-07-17,cebu city,cebu,central visayas
2912,DATA ADMINISTRATOR,,,3.0,,"Computer/Information Technology, IT-Network/Sys/DB Admin",Supervisor/5 Years & Up Experienced Employee,vocational diploma/short course certificate,Full-Time,,,,
2913,Business Analyst,,,5.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-16,pasig city,metro manila,national capital region
2914,IT Business Analyst,90000.0,120000.0,2.0,,"Computer/Information Technology, IT-Software",1-4 Years Experienced Employee,vocational diploma/short course certificate,Full-Time,2023-07-16,makati city,metro manila,national capital region
2915,"Consultant, Strategic Planning and Execution - Night Shift",,,,Machine learning,,Not Specified,vocational diploma/short course certificate,Full-Time,2023-07-16,taguig city,metro manila,national capital region
2916,Master Data Intern,,,,,,Not Specified,vocational diploma/short course certificate,,2023-07-16,taguig city,metro manila,national capital region
2917,Senior Process Executive-Data,,,,,,Not Specified,vocational diploma/short course certificate,,2023-07-16,,,national capital region
2918,IT Assistant,,,,Microsoft Excel,"Admin/Human Resources, Clerical/Administrative Support",Not Specified,vocational diploma/short course certificate,Full-Time,,,,
2919,Contract Management Specialist,,,,Microsoft Excel,"Services, Customer Service",Not Specified,vocational diploma/short course certificate,Full-Time,,,,
2920,Data Management & Processing - Back Office Agent | HIRING: Start ASAP! (Makati),17000.0,21000.0,,,,Less than 1 Year Experienced Employee,vocational diploma/short course certificate,,2023-07-16,makati city,metro manila,national capital region
2921,Data and Business Analyst,,,,"Power BI, SQL","Computer/Information Technology, IT-Software",Not Specified,vocational diploma/short course certificate,Full-Time,,,,
2922,Business Analyst (NSO),,,,"Power BI, Python, SQL","Computer/Information Technology, IT-Network/Sys/DB Admin",Not Specified,vocational diploma/short course certificate,Full-Time,,,,
2923,Business Analyst (ITPPM Project),,,,,"Computer/Information Technology, IT-Network/Sys/DB Admin",Not Specified,vocational diploma/short course certificate,Full-Time,,,,
